PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;18;35;28079018_35_59;2018;10;19;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;1;28079024_1_38;2018;10;19;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;6;28079024_6_48;2018;10;19;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;7;28079024_7_8;2018;10;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00006;V;00006;V;00004;V;00002;V;00002;V;00003;V;00002;V;00003;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;8;28079024_8_8;2018;10;19;00005;V;00003;V;00002;V;00001;V;00001;V;00003;V;00009;V;00026;V;00038;V;00040;V;00026;V;00017;V;00012;V;00010;V;00016;V;00018;V;00026;V;00020;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;9;28079024_9_47;2018;10;19;00006;V;00005;V;00003;V;00003;V;00004;V;00004;V;00001;V;00001;V;00002;V;00004;V;00004;V;00005;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;10;28079024_10_47;2018;10;19;00007;V;00005;V;00004;V;00004;V;00004;V;00004;V;00001;V;00001;V;00003;V;00005;V;00006;V;00006;V;00005;V;00006;V;00007;V;00005;V;00006;V;00005;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2018;10;19;00007;V;00005;V;00003;V;00003;V;00002;V;00005;V;00011;V;00027;V;00040;V;00050;V;00034;V;00023;V;00016;V;00014;V;00021;V;00021;V;00030;V;00022;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2018;10;19;52.70;V;52.73;V;57.64;V;58.18;V;61.51;V;60.92;V;48.70;V;33.61;V;28.75;V;23.11;V;35.70;V;41.43;V;47.93;V;52.69;V;45.71;V;46.72;V;35.25;V;46.70;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2018;10;19;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.9;V;001.3;V;001.7;V;001.6;V;001.2;V;001.1;V;001.0;V;001.1;V;001.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
